Arquivo,ID_Cenario,ID_Regra,Resultado,Evidencia,Executor,Testado_Em
11-AUTH-PERFIL.md,CT-RN-AUTH-005-F,RN-AUTH-005,FAIL,Keywords (0/1): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-006-F,RN-AUTH-006,FAIL,Keywords (0/1): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-010-F,RN-AUTH-010,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-011-F,RN-AUTH-011,PASS,"Ausência esperada; termos monitorados: Toast de erro, formulário  envia",,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-012-F,RN-AUTH-012,FAIL,Keywords (0/1): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-013-F,RN-AUTH-013,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-014-F,RN-AUTH-014,FAIL,Keywords (0/1): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-020-F,RN-AUTH-020,PASS,"Ausência esperada; termos monitorados: Continua logado se sessão válida, se volta anônimo",,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-021-F,RN-AUTH-021,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-022-F,RN-AUTH-022,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-023-F,RN-AUTH-023,FAIL,Keywords (0/2): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-024-F,RN-AUTH-024,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-025-F,RN-AUTH-025,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-030-F,RN-AUTH-030,FAIL,Keywords (0/2): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-031-F,RN-AUTH-031,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-032-F,RN-AUTH-032,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-033-F,RN-AUTH-033,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-034-F,RN-AUTH-034,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-035-F,RN-AUTH-035,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-040-F,RN-AUTH-040,PASS,Ausência esperada; termos monitorados: Redirect Entrar se perfil  carrega,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-041-F,RN-AUTH-041,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-042-F,RN-AUTH-042,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-043-F,RN-AUTH-043,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-044-F,RN-AUTH-044,PASS,Ausência esperada; termos monitorados: ,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-050-F,RN-AUTH-050,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-051-F,RN-AUTH-051,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-001-F,RN-BUSCA-001,FAIL,Keywords (0/2): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-002-F,RN-BUSCA-002,FAIL,Keywords (0/2): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-003-F,RN-BUSCA-003,PASS,Keywords (1/1): ['todos'],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-004-F,RN-BUSCA-004,PASS,Keywords (1/2): ['em alta'],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-005-F,RN-BUSCA-005,FAIL,Keywords (0/1): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-006-F,RN-BUSCA-006,PASS,"Ausência esperada; termos monitorados: Resultados atualizam ~350 ms após parar de digitar, piscam, buscas antigas  “piscam” por cima das novas",,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-007-F,RN-BUSCA-007,FAIL,Keywords (0/2): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-008-F,RN-BUSCA-008,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-009-F,RN-BUSCA-009,FAIL,Keywords (0/1): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-010-F,RN-BUSCA-010,FAIL,Keywords (0/3): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-011-F,RN-BUSCA-011,FAIL,Keywords (0/1): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-012-F,RN-BUSCA-012,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-013-F,RN-BUSCA-013,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-014-F,RN-BUSCA-014,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-015-F,RN-BUSCA-015,FAIL,Keywords (0/1): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-020-F,RN-BUSCA-020,FAIL,Keywords (0/2): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-021-F,RN-BUSCA-021,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-BUSCA-022-F,RN-BUSCA-022,FAIL,Keywords (0/3): [],,2026-09-22T19:44:10Z
12-OUTRAS-TELAS.md,CT-RN-CONT-001-F,RN-CONT-001,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-002-F,RN-CONT-002,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-003-F,RN-CONT-003,FAIL,Keywords (0/3): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-004-F,RN-CONT-004,PASS,"Keywords (2/3): ['Sagas', 'Universos cinematográficos']",,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-005-F,RN-CONT-005,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-006-F,RN-CONT-006,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-007-F,RN-CONT-007,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-008-F,RN-CONT-008,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-009-F,RN-CONT-009,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-010-F,RN-CONT-010,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-011-F,RN-CONT-011,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-CONT-020-F,RN-CONT-020,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-001-F,RN-DEV-001,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-002-F,RN-DEV-002,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-003-F,RN-DEV-003,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-004-F,RN-DEV-004,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-005-F,RN-DEV-005,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-006-F,RN-DEV-006,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DEV-007-F,RN-DEV-007,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-001-F,RN-DUB-001,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-002-F,RN-DUB-002,FAIL,Keywords (0/5): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-003-F,RN-DUB-003,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-004-F,RN-DUB-004,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-005-F,RN-DUB-005,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-DUB-006-F,RN-DUB-006,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-001-F,RN-EVT-001,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-002-F,RN-EVT-002,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-003-F,RN-EVT-003,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-004-F,RN-EVT-004,FAIL,Keywords (0/1): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-005-F,RN-EVT-005,FAIL,Keywords (0/2): [],,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-006-F,RN-EVT-006,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:44:07Z
12-OUTRAS-TELAS.md,CT-RN-EVT-007-F,RN-EVT-007,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:07Z
02-FILMES.md,CT-RN-FILMES-001-F,RN-FILMES-001,PASS,Ausência esperada; termos monitorados: ,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-002-F,RN-FILMES-002,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-003-F,RN-FILMES-003,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-004-F,RN-FILMES-004,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-005-F,RN-FILMES-005,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-006-F,RN-FILMES-006,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-007-F,RN-FILMES-007,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-008-F,RN-FILMES-008,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-009-F,RN-FILMES-009,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-010-F,RN-FILMES-010,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-011-F,RN-FILMES-011,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-012-F,RN-FILMES-012,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-013-F,RN-FILMES-013,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-014-F,RN-FILMES-014,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-015-F,RN-FILMES-015,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-016-F,RN-FILMES-016,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-017-F,RN-FILMES-017,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-018-F,RN-FILMES-018,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-019-F,RN-FILMES-019,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-020-F,RN-FILMES-020,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-021-F,RN-FILMES-021,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-022-F,RN-FILMES-022,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-023-F,RN-FILMES-023,PASS,Ausência esperada; termos monitorados: Selects  ficam permanentemente desabilitados,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-024-F,RN-FILMES-024,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-025-F,RN-FILMES-025,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-026-F,RN-FILMES-026,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-027-F,RN-FILMES-027,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-028-F,RN-FILMES-028,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-029-F,RN-FILMES-029,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-030-F,RN-FILMES-030,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-031-F,RN-FILMES-031,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-032-F,RN-FILMES-032,FAIL,Keywords (0/3): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-033-F,RN-FILMES-033,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-034-F,RN-FILMES-034,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-035-F,RN-FILMES-035,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-036-F,RN-FILMES-036,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-037-F,RN-FILMES-037,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-038-F,RN-FILMES-038,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-039-F,RN-FILMES-039,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-040-F,RN-FILMES-040,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-041-F,RN-FILMES-041,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-042-F,RN-FILMES-042,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-043-F,RN-FILMES-043,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-044-F,RN-FILMES-044,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-045-F,RN-FILMES-045,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-046-F,RN-FILMES-046,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-047-F,RN-FILMES-047,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-048-F,RN-FILMES-048,PASS,"Ausência esperada; termos monitorados: já lançado, : comparar com atalho Em Breve)",,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-049-F,RN-FILMES-049,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-050-F,RN-FILMES-050,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-051-F,RN-FILMES-051,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-052-F,RN-FILMES-052,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-053-F,RN-FILMES-053,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-054-F,RN-FILMES-054,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-055-F,RN-FILMES-055,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-056-F,RN-FILMES-056,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-057-F,RN-FILMES-057,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-058-F,RN-FILMES-058,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-059-F,RN-FILMES-059,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-060-F,RN-FILMES-060,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-061-F,RN-FILMES-061,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-062-F,RN-FILMES-062,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-063-F,RN-FILMES-063,PASS,"Ausência esperada; termos monitorados: Filmes pode mostrar pills nos cards/detalhe, ranking completo  é seção fixa aqui",,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-064-F,RN-FILMES-064,PASS,Ausência esperada; termos monitorados: ,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-065-F,RN-FILMES-065,PASS,"Ausência esperada; termos monitorados: Grade estática filtrada,  slide por slide de timeline",,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-066-F,RN-FILMES-066,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-067-F,RN-FILMES-067,FAIL,Keywords (0/1): [],,2026-09-22T19:43:49Z
02-FILMES.md,CT-RN-FILMES-068-F,RN-FILMES-068,FAIL,Keywords (0/2): [],,2026-09-22T19:43:49Z
09-BUSCA-HEADER.md,CT-RN-HEADER-001-F,RN-HEADER-001,FAIL,Keywords (0/1): [],,2026-09-22T19:44:10Z
09-BUSCA-HEADER.md,CT-RN-HEADER-002-F,RN-HEADER-002,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:10Z
