ID_Cenario,ID_Regra,Nome_Regra,Tela,Arquivo_Inventario,QA_Executor,Data_Execucao,Conta_QA,Veredito_Humano,Evidencia,TL_Validado,Observacao
CT-RN-ANIMES-015-F,RN-ANIMES-015,Ordem alfabética padrão,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-016-F,RN-ANIMES-016,Listagem vs home / Hoje,Animes,04-ANIMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/lote-fila-smoke-2026-09-23.png,,Passos CSV pendentes; smoke rota relacionada OK.
CT-RN-ANIMES-017-F,RN-ANIMES-017,Conteúdo pode demorar a atualizar,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-018-F,RN-ANIMES-018,Metadados de filtro completos,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-019-F,RN-ANIMES-019,Detalhe ao vivo,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-020-F,RN-ANIMES-020,Próximo episódio (detalhe/agenda),Animes,04-ANIMES.md,,,,,,,
CT-RN-AUTH-001-F,RN-AUTH-001,Campos obrigatórios,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-002-F,RN-AUTH-002,Sucesso,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-003-F,RN-AUTH-003,Erro genérico,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-004-F,RN-AUTH-004,Redirect seguro,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-005-F,RN-AUTH-005,Mostrar senha,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-006-F,RN-AUTH-006,Ir para cadastro,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-010-F,RN-AUTH-010,Senha mínima,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-011-F,RN-AUTH-011,Confirmar senha,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-012-F,RN-AUTH-012,Campos obrigatórios,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-013-F,RN-AUTH-013,Sucesso,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-014-F,RN-AUTH-014,Erro do servidor,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-020-F,RN-AUTH-020,Restaurar ao abrir o site,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-021-F,RN-AUTH-021,Dados após login,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-022-F,RN-AUTH-022,Preferências lembradas,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-023-F,RN-AUTH-023,Sair,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-024-F,RN-AUTH-024,Sessão no navegador,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-025-F,RN-AUTH-025,Tipo de conta,Entrar e perfil,11-AUTH-PERFIL.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/lote-fila-smoke-2026-09-23.png,,Passos CSV pendentes (conta/busca específica).
CT-RN-AUTH-030-F,RN-AUTH-030,Só para logados,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-031-F,RN-AUTH-031,Dados básicos,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-032-F,RN-AUTH-032,Bio,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-033-F,RN-AUTH-033,Bloco conta,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-034-F,RN-AUTH-034,Atalhos,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-035-F,RN-AUTH-035,Ferramentas admin,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-040-F,RN-AUTH-040,Só para logados,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-041-F,RN-AUTH-041,Campos editáveis,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-042-F,RN-AUTH-042,Salvar perfil,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-043-F,RN-AUTH-043,Texto de privacidade,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-044-F,RN-AUTH-044,Sem troca de senha aqui,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-050-F,RN-AUTH-050,Minha lista no menu,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-AUTH-051-F,RN-AUTH-051,Perfil e configurações,Entrar e perfil,11-AUTH-PERFIL.md,,,,,,,
CT-RN-BUSCA-001-F,RN-BUSCA-001,Abrir e fechar,Busca e cabeçalho,09-BUSCA-HEADER.md,Supervisor IA,2026-09-23,anon-prod-vercel,PASS,evidencias/lote-fila-smoke-2026-09-23.png,,Overlay busca abre (ícone lupa) e fecha com Esc; prod 23/09.
CT-RN-BUSCA-002-F,RN-BUSCA-002,Histórico do navegador,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-003-F,RN-BUSCA-003,Limpar ao fechar,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-004-F,RN-BUSCA-004,Em alta sem digitar,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-005-F,RN-BUSCA-005,Mínimo de caracteres,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-006-F,RN-BUSCA-006,Espera antes de buscar,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-007-F,RN-BUSCA-007,Filtro por tipo,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-008-F,RN-BUSCA-008,Resultados de mídia,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-009-F,RN-BUSCA-009,Pessoas e dubladores,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-010-F,RN-BUSCA-010,O que mostra por categoria,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-011-F,RN-BUSCA-011,Seção pessoas,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-012-F,RN-BUSCA-012,Contagem de resultados,Busca e cabeçalho,09-BUSCA-HEADER.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/lote-fila-smoke-2026-09-23.png,,Passos CSV pendentes (conta/busca específica).
CT-RN-BUSCA-013-F,RN-BUSCA-013,Ações nos cards,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-014-F,RN-BUSCA-014,Destaque de foco,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-015-F,RN-BUSCA-015,Estados vazios,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-020-F,RN-BUSCA-020,Destino do clique,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-021-F,RN-BUSCA-021,Voltar à busca,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-BUSCA-022-F,RN-BUSCA-022,Subtítulo do card,Busca e cabeçalho,09-BUSCA-HEADER.md,,,,,,,
CT-RN-CONT-001-F,RN-CONT-001,Lista inicial,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-002-F,RN-CONT-002,Detalhe de saga,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-003-F,RN-CONT-003,Detalhe de universo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-004-F,RN-CONT-004,Abas na listagem,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-005-F,RN-CONT-005,Card de saga,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-006-F,RN-CONT-006,Card de universo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-007-F,RN-CONT-007,Timeline da saga,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-008-F,RN-CONT-008,Detalhe do universo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-009-F,RN-CONT-009,Abrir obra,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-010-F,RN-CONT-010,Sem conteúdo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-011-F,RN-CONT-011,Voltar à lista,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-CONT-020-F,RN-CONT-020,Abas no modal,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-001-F,RN-DEV-001,Empresa inválida,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-002-F,RN-DEV-002,Lista paginada,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-003-F,RN-DEV-003,Scroll infinito,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-004-F,RN-DEV-004,Título da página,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-005-F,RN-DEV-005,Texto informativo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-006-F,RN-DEV-006,Grid de jogos,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DEV-007-F,RN-DEV-007,Entrada pelo modal,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DUB-001-F,RN-DUB-001,Carregar créditos,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DUB-002-F,RN-DUB-002,Rótulo de idioma,Outras telas,12-OUTRAS-TELAS.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/lote-fila-smoke-2026-09-23.png,,Passos CSV pendentes; smoke rota relacionada OK.
CT-RN-DUB-003-F,RN-DUB-003,Tipos na filmografia,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DUB-004-F,RN-DUB-004,Personagem no card,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DUB-005-F,RN-DUB-005,Abrir detalhe,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-DUB-006-F,RN-DUB-006,Voltar para busca,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-001-F,RN-EVT-001,Ano padrão,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-002-F,RN-EVT-002,Carregar resumo,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-003-F,RN-EVT-003,Só eventos com jogos,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-004-F,RN-EVT-004,Contador,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-005-F,RN-EVT-005,Loading e erro,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-006-F,RN-EVT-006,Ano vazio,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-EVT-007-F,RN-EVT-007,Jogos por evento,Outras telas,12-OUTRAS-TELAS.md,,,,,,,
CT-RN-FILMES-001-F,RN-FILMES-001,Conteúdo na primeira abertura,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-002-F,RN-FILMES-002,Atualização gradual do catálogo,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-003-F,RN-FILMES-003,Falha no carregamento inicial,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-004-F,RN-FILMES-004,Texto do cabeçalho,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-005-F,RN-FILMES-005,Gaveta O que vem aí,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-006-F,RN-FILMES-006,Ações nos cards da gaveta,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-007-F,RN-FILMES-007,Gaveta Em cartaz,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-008-F,RN-FILMES-008,Gavetas carregam após a página,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-009-F,RN-FILMES-009,Atalho Todos os Filmes,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-010-F,RN-FILMES-010,Atalho Em Cartaz,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-011-F,RN-FILMES-011,Atalho Em Breve,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-012-F,RN-FILMES-012,Atalho Populares,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-013-F,RN-FILMES-013,Destaque visual do atalho,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-014-F,RN-FILMES-014,Gênero “Todos”,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-015-F,RN-FILMES-015,Nome do gênero no menu,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-016-F,RN-FILMES-016,Ano “Todos”,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-017-F,RN-FILMES-017,Anos no dropdown,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-018-F,RN-FILMES-018,Meses em português,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-019-F,RN-FILMES-019,Mês “Todos”,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-020-F,RN-FILMES-020,Status traduzido,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-021-F,RN-FILMES-021,Filtro por plataforma,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-022-F,RN-FILMES-022,Plataformas ordenadas,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-023-F,RN-FILMES-023,Filtros sempre clicáveis,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-024-F,RN-FILMES-024,Primeira visita sem “piscar” desnecessário,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-025-F,RN-FILMES-025,Mudança de filtro recarrega,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-026-F,RN-FILMES-026,Atualização após sync do site,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-027-F,RN-FILMES-027,Spinner ao filtrar,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-028-F,RN-FILMES-028,Contador com total global,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-029-F,RN-FILMES-029,Contador em carregamento,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-030-F,RN-FILMES-030,Grade responsiva,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-031-F,RN-FILMES-031,Nenhum resultado,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-032-F,RN-FILMES-032,Falha ao recarregar no cliente,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-033-F,RN-FILMES-033,Limite inicial de cards na tela,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-034-F,RN-FILMES-034,Cards com informação de streaming,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-035-F,RN-FILMES-035,Saga e coleção no card,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-036-F,RN-FILMES-036,Curadoria de exibição padrão,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-037-F,RN-FILMES-037,Sem pôster,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-038-F,RN-FILMES-038,Sem sinopse,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-039-F,RN-FILMES-039,Conteúdo adulto explícito,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-040-F,RN-FILMES-040,Exceção em cartaz ou em breve,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-041-F,RN-FILMES-041,Nota mínima com muitos votos,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-042-F,RN-FILMES-042,Ano corrente ou futuro mais permissivo,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-043-F,RN-FILMES-043,Filtro por ano civil,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-044-F,RN-FILMES-044,Filtro por mês,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-045-F,RN-FILMES-045,Mês sem ano usa ano atual,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-046-F,RN-FILMES-046,Filtro por gênero,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-047-F,RN-FILMES-047,Filtro por status,Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
CT-RN-FILMES-048-F,RN-FILMES-048,Só já lançados (catálogo),Filmes,02-FILMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/CT-RN-FILMES-smoke/e2e-filmes-prod,,PASS robô pré-#155 era só h1; passos completos CSV pendentes.
