Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-011,Lote inicial sem “carregar mais”,A grade mostra um lote inicial (~dezenas); não há botão para próxima página nesta tela.,Catálogo grande.,~48 cards visíveis; sem paginação na UI.,Contar cards com filtros abertos.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-012,Exclusão de adulto explícito,Animes marcados como conteúdo adulto não entram na listagem pública desta página.,Anime adulto no catálogo.,Ausente em Animes.,Buscar título adulto conhecido.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-013,Tags sensíveis ocultas,"Títulos com tags como conteúdo adulto explícito (ex.: hentai, ecchi pesado) ficam de fora da listagem padrão.",Anime com tag bloqueada.,Não aparece na grade pública.,Validar título de teste com tag sensível.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-014,Filtros combinados,"Gênero, ano (temporada), formato, fonte e status restringem juntos.",Vários filtros ativos.,Só animes que atendem **todos** os critérios.,Combinar gênero + ano + formato.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-015,Ordem alfabética padrão,"Sem controle “populares” na UI, ordem por título (romaji/título exibido).",Filtros em todos.,Ordem A–Z aproximada pelos primeiros cards.,Ler primeiros títulos.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-016,Listagem vs home / Hoje,A página Animes é **mais permissiva** que o carrossel Animes da home e que algumas seções da página Hoje (que exigem qualidade mínima).,"Anime marginal (baixa popularidade, fora de temporada).",Pode aparecer em Animes e faltar na home/Hoje streaming.,Comparar mesmo anime nas três áreas.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-017,Conteúdo pode demorar a atualizar,"Após mudanças no catálogo, aguardar e recarregar para ver efeito (mesma lógica das outras listagens).",Cadastro alterado.,Novidades após reload.,Alterar anime de teste; recarregar.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-018,Metadados de filtro completos,Formatos e fontes listam valores realmente usados por algum anime.,Catálogo variado.,Sem opções “fantasma” no menu.,Percorrer formatos/fontes.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-019,Detalhe ao vivo,"Clique no card abre detalhe que pode buscar informações atualizadas (sinopse, episódios, links).",Card qualquer.,Modal/página de detalhe; id inválido não abre conteúdo quebrado.,Clicar card; testar título removido.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-020,Próximo episódio (detalhe/agenda),Informação de próximo episódio aparece no detalhe/card quando existir agenda futura; não é filtro da grade.,Anime em exibição semanal.,Contagem ou data de próximo ep no card/detalhe.,Anime em temporada corrente.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-001,Campos obrigatórios,Formulário de login.,Página Entrar aberta.,Email e senha exigidos pelo navegador antes de enviar.,Enviar vazio → validação nativa.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-002,Sucesso,Credenciais válidas.,Conta existente.,Usuário entra; redireciona para página anterior segura ou home; nome aparece no header.,Login OK vindo de Minha Lista.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-003,Erro genérico,Credenciais inválidas ou falha de rede.,Login falha.,Toast “Ocorreu um erro ao tentar fazer login” (ou equivalente).,Senha errada.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-004,Redirect seguro,Parâmetro de retorno na URL após login.,Link de Entrar vindo de página protegida.,Só redireciona para páginas internas do site; não envia o usuário para sites externos.,"Após login, confirmar retorno à Minha Lista; tentar manipular URL de retorno externo se QA tiver cenário."
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-005,Mostrar senha,Acessibilidade.,Campo senha.,Ícone alterna texto visível/oculto.,Clicar olho no campo senha.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-006,Ir para cadastro,Rodapé.,Página login.,Link para Inscreva-se.,Clicar cadastro.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-010,Senha mínima,Regra de segurança.,Cadastro novo.,Senha com menos de **8** caracteres bloqueada com aviso antes de enviar.,Senha de 7 chars.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-011,Confirmar senha,Dois campos devem coincidir.,Senhas diferentes.,Toast de erro; formulário não envia.,Senha ≠ confirmar.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-012,Campos obrigatórios,"Nome, email, senhas.",Formulário.,"Nome, email e senhas required.",Enviar incompleto.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-013,Sucesso,Cadastro aceito.,Email novo.,Mesmo fluxo pós-login: sessão ativa + redirect seguro.,Registrar conta QA.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-014,Erro do servidor,Email duplicado etc.,Cadastro recusado.,Toast com mensagem retornada ou genérica.,Registrar email já usado.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-020,Restaurar ao abrir o site,Usuário já logou antes.,Fechar aba e reabrir.,Continua logado se sessão válida; senão volta anônimo.,Login → fechar browser → reabrir.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-021,Dados após login,Conteúdo personalizado.,Login bem-sucedido.,"Notificações, interações nos cards e pins de anime da semana carregam.",Ver badge notificação e favoritos.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-022,Preferências lembradas,Tema e interações locais.,Usuário alterou tema ou favoritos.,"Tema, favoritos e opção de scroll rápido persistem entre visitas no mesmo navegador.",Mudar tema → F5.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-023,Sair,Logout pelo menu.,Logado.,"Limpa usuário, notificações, interações e pins; volta estado de visitante.",Sair → header sem avatar.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-024,Sessão no navegador,Cookie de sessão.,Login em produção.,Sessão mantida por vários dias no mesmo dispositivo (comportamento de “permanecer logado”).,Permanecer logado overnight (QA).
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-025,Tipo de conta,Papel do usuário.,Admin vs explorador.,"Admin vê ferramentas extras (ex. edição no modal, links no perfil); demais usuários não.",Comparar contas.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-030,Só para logados,Proteção da rota.,Anônimo ou sessão inválida.,Redirect para Entrar; falha ao carregar perfil também redireciona.,Abrir Meu perfil sem login.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-031,Dados básicos,Identidade na página.,Perfil carregado.,"Nome, email, papel (Administrador / Explorador); foto só se URL de avatar for de origem permitida.",Perfil com avatar externo válido/inválido.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-032,Bio,Texto sobre o usuário.,Com/sem bio salva.,Bio visível ou placeholder convidando a editar em Configurações.,Conta sem bio.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-033,Bloco conta,Metadados.,Perfil OK.,"Email, “membro desde” em pt-BR, visibilidade Público/Privado.",Ler seção conta.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-034,Atalhos,Navegação rápida.,Perfil aberto.,Links para Minha lista e Configurações.,Clicar atalhos.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-035,Ferramentas admin,Conta administrador.,Role admin.,Link para logs de sincronização e ação para baixar log de sync (ferramenta temporária de QA/operações).,Logar admin; usuário comum não vê.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-040,Só para logados,Mesmo padrão do perfil.,Anônimo.,Redirect Entrar se perfil não carrega.,Abrir Configurações sem login.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-041,Campos editáveis,Formulário.,Logado.,"Nome, URL do avatar, bio, interruptor perfil público (padrão público se nunca definido).",Alterar nome e salvar.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-042,Salvar perfil,Envio do formulário.,Dados válidos.,Mensagem inline de sucesso ou erro; perfil reflete mudanças.,Salvar bio nova → ver perfil.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-043,Texto de privacidade,Toggle perfil público.,Configurações abertas.,Explica que perfil público afeta visibilidade de lista/favoritos para outros.,Ler copy do toggle.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-044,Sem troca de senha aqui,Escopo da página.,Configurações.,Não há campos de senha ou email nesta tela.,Confirmar ausência de “alterar senha”.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-050,Minha lista no menu,Usuário logado.,Header desktop/mobile.,Entrada para Minha lista no menu do usuário e no mobile.,Abrir menu avatar.
11-AUTH-PERFIL.md,"telas de **Entrar**, **Inscreva-se**, **Meu perfil** e **Configurações**, além do comportamento global de sessão em todo o site.",RN-AUTH-051,Perfil e configurações,Navegação.,Logado.,Perfil no menu; Configurações via perfil ou botão dedicado.,Ir perfil → configurações.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-001,Abrir e fechar,A busca só aparece quando acionada pelo header.,Site carregado.,Ícone de busca abre overlay; fechar remove overlay.,Clicar lupa → fechar com X/Esc/clique fora.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-002,Histórico do navegador,Comportamento alinhado ao modal de detalhe.,Busca aberta.,Botão voltar do navegador pode fechar a busca; Esc fecha.,Abrir busca → voltar do browser.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-003,Limpar ao fechar,Ao sair da busca.,Busca usada com texto e filtro.,"Campo vazio, categoria “todos”, resultados zerados na próxima abertura.",Buscar algo → fechar → reabrir.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-004,Em alta sem digitar,Overlay aberto e campo vazio.,Primeira abertura ou após limpar.,Até ~20 títulos “em alta” exibidos como sugestão.,Abrir busca sem digitar.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-005,Mínimo de caracteres,Busca efetiva por texto.,Digitar 0 ou 1 caractere.,Sem busca remota; resultados de mídia zerados (permanece em alta se vazio).,Digitar “a” e parar.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-006,Espera antes de buscar,Evita buscar a cada tecla.,Digitar termo com 2+ caracteres.,Resultados atualizam ~350 ms após parar de digitar; buscas antigas não “piscam” por cima das novas.,Digitar rápido “star wars”.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-007,Filtro por tipo,Chips ou abas de categoria.,Query válida.,"Opções: todos, filmes, séries, animes, jogos, pessoas; restringe o que é buscado/exibido.",Buscar termo comum; alternar chips.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-008,Resultados de mídia,Várias mídias na mesma busca.,Categoria “todos” ou tipo específico.,"Filmes, séries, animes e jogos aparecem em grupos conforme filtro.",Termo que existe em mais de um tipo.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-009,Pessoas e dubladores,Resultados de elenco.,Termo com 2+ chars; categoria todos ou pessoas.,Cards de ator/equipe vs dublador com rótulos distintos.,Buscar nome de ator e de dublador.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-010,O que mostra por categoria,Com texto digitado.,Query ≥ 2; chip selecionado.,Chip “pessoas” esconde grids de mídia; demais chips focam o tipo escolhido.,Mesmo termo em “todos” vs “filmes” vs “pessoas”.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-011,Seção pessoas,Grid dedicado.,Query ≥ 2; todos ou pessoas; há matches.,Bloco de pessoas visível só nessas condições.,Buscar sobrenome comum.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-012,Contagem de resultados,Total exibido ao usuário.,Busca com resultados.,Número reflete mídias visíveis + pessoas quando a seção pessoas está ativa.,Comparar total ao mudar chip.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-013,Ações nos cards,Favoritar e listas na busca.,Logado ou anônimo.,Mesmas regras dos cards nas listagens (login exigido onde aplicável).,Favoritar da busca logado.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-014,Destaque de foco,Preparado para navegação por teclado.,Busca com vários resultados.,Um item pode receber estado visual de foco (navegação completa por teclado pode ser limitada).,Observar foco ao interagir.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-015,Estados vazios,Sem sugestões e sem match.,Sem trending e sem query; ou query sem resultado.,“Nenhum conteúdo em alta” ou mensagem citando o termo buscado.,Termo inventado “zzzxxyy”.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-020,Destino do clique,Ator vs dublador.,Resultado de pessoa na busca.,Ator/equipe → página da pessoa; dublador → página do dublador.,Clicar cada tipo.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-021,Voltar à busca,Após abrir perfil a partir da busca.,Veio da overlay de busca.,"Ao voltar da página de pessoa/dublador, a busca pode reabrir (fluxo de retorno).",Busca → pessoa → voltar.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-BUSCA-022,Subtítulo do card,Identificação rápida.,Cards na grid de pessoas.,“Ator / equipe” ou “Dublador” conforme o caso.,Ler subtítulos na busca.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-001,Lista inicial,Página aberta sem detalhe selecionado.,Acesso pelo menu Continuações.,Carrega listas de **Sagas** e **Universos**; falha de rede → listas vazias sem quebrar a página.,Abrir Continuações offline após visita anterior.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-002,Detalhe de saga,Saga selecionada na navegação.,Saga válida no catálogo.,Mostra timeline da saga; limpa seleção de universo.,Clicar card de saga.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-003,Detalhe de universo,Universo selecionado.,Universo válido.,Mostra universo; força visualização de universos; limpa saga.,Link de universo cinematográfico.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-004,Abas na listagem,Sem detalhe aberto.,Lista carregada.,Alternar “Sagas” vs “Universos cinematográficos”.,Clicar abas.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-005,Card de saga,Preview na grade.,Várias sagas.,Link para detalhe; mostra quantidade de filmes e preview de títulos.,Ler card antes de entrar.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-006,Card de universo,Preview na grade.,Universos com ordem.,Link para detalhe; preview numérico quando há ordem de obras.,Universo com filmes numerados.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-007,Timeline da saga,Detalhe aberto.,Saga com filmes.,Linha do tempo cronológica; texto introdutório da saga se existir.,Abrir saga longa (ex. franquia).
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-008,Detalhe do universo,Visão mista.,Universo com filmes e séries.,"Contagens, faixa de anos, descrição, timeline filme+série.",Universo compartilhado conhecido.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-009,Abrir obra,Clique em item da timeline.,Item filme ou série.,Abre modal de detalhe com informações mínimas até carregar o restante.,Clicar filme na timeline.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-010,Sem conteúdo,Catálogo vazio.,Zero sagas/universos.,Mensagem orientando que dados podem depender de sincronização do catálogo.,Ambiente vazio.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-011,Voltar à lista,Do detalhe.,Detalhe de saga ou universo.,Link “Todas as sagas” / “Todos os universos” retorna à listagem geral.,Voltar pelo link.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-CONT-020,Abas no modal,Detalhe de filme/série com franquia.,Modal aberto.,Mesmas regras das abas RN-MODAL-090 a RN-MODAL-092 (continuação/universo sob demanda).,Abrir filme de saga → abas.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-001,Empresa inválida,Endereço ou identificador incorreto.,Link quebrado ou id inexistente.,Mensagem de erro sem carregamento infinito.,Abrir link de desenvolvedora inválido.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-002,Lista paginada,Catálogo de jogos da empresa.,Empresa com muitos jogos.,Primeira leva (~24 jogos); indicador de mais páginas.,Empresa grande (Nintendo etc.).
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-003,Scroll infinito,Usuário rola até o fim.,`hasMore` verdadeiro.,Próxima página carrega automaticamente ao aproximar do fim (~200px).,Rolar até carregar 2ª página.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-DEV-004,Título da página,Nome da empresa.,Resposta com nome.,Cabeçalho com nome da desenvolvedora ou fallback “Desenvolvedora”.,Empresa sem nome na resposta.
