Pacote,Camada_Testagem,ID_Regra,Nome_Regra,Arquivo_Inventario,Tela_Resumo,ID_Cenario,Titulo_Cenario,Objetivo,Tipo_Testagem,Pre_condicoes_TestE,Passos,Resultado_Esperado,Dados_Conta_Ambiente,Impedimentos_Conhecidos,Status_Elaboracao,QA_Autor,Data_Elaboracao,TL_Auditoria,TL_Comentario,TL_Data,Exploratorio_Validado
camadas-v1,Negativo,RN-ANIMES-004,Gaveta O que vem aí,04-ANIMES.md,Animes,CT-RN-ANIMES-004-N,Negativo: Gaveta O que vem aí — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-004, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Resumo com **próximos animes**.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Resumo com **próximos animes**..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-004,Gaveta O que vem aí,04-ANIMES.md,Animes,CT-RN-ANIMES-004-E,Exploratório: Gaveta O que vem aí — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-004 após o caminho feliz.,Exploratório guiado,Resumo com **próximos animes**.,"**Charter (15 min)** — área: **Animes** · regra: Gaveta O que vem aí.
**Contexto:** Animes futuros em carrossel horizontal.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-005,Opções dos filtros,04-ANIMES.md,Animes,CT-RN-ANIMES-005-F,Feliz: Opções dos filtros,Caminho principal que confirma a regra RN-ANIMES-005 (Opções dos filtros).,Funcional manual,Catálogo populado.,"1. Abrir o site e navegar até **Animes**.
2. Abrir cada select e comparar com títulos conhecidos.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Dropdowns preenchidos; gêneros em ordem alfabética; anos do mais recente ao mais antigo; status com rótulo em português quando aplicável.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-005,Opções dos filtros,04-ANIMES.md,Animes,CT-RN-ANIMES-005-N,Negativo: Opções dos filtros — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-005, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Catálogo populado.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Catálogo populado..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-005,Opções dos filtros,04-ANIMES.md,Animes,CT-RN-ANIMES-005-E,Exploratório: Opções dos filtros — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-005 após o caminho feliz.,Exploratório guiado,Catálogo populado.,"**Charter (15 min)** — área: **Animes** · regra: Opções dos filtros.
**Contexto:** Gêneros, anos, formatos, fontes e status vêm do catálogo disponível.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-006,Valor “Todos”,04-ANIMES.md,Animes,CT-RN-ANIMES-006-F,Feliz: Valor “Todos”,Caminho principal que confirma a regra RN-ANIMES-006 (Valor “Todos”).,Funcional manual,Todos em todos os selects.,"1. Abrir o site e navegar até **Animes**.
2. Resetar filtros.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Grade ampla.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-006,Valor “Todos”,04-ANIMES.md,Animes,CT-RN-ANIMES-006-N,Negativo: Valor “Todos” — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-006, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Todos em todos os selects.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Todos em todos os selects..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-006,Valor “Todos”,04-ANIMES.md,Animes,CT-RN-ANIMES-006-E,Exploratório: Valor “Todos” — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-006 após o caminho feliz.,Exploratório guiado,Todos em todos os selects.,"**Charter (15 min)** — área: **Animes** · regra: Valor “Todos”.
**Contexto:** Cada filtro em “Todos os …” não restringe aquele critério.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-007,Recarga ao mudar filtro e na hidratação,04-ANIMES.md,Animes,CT-RN-ANIMES-007-F,Feliz: Recarga ao mudar filtro e na hidratação,Caminho principal que confirma a regra RN-ANIMES-007 (Recarga ao mudar filtro e na hidratação).,Funcional manual,Página recém-aberta ou filtro alterado.,"1. Abrir o site e navegar até **Animes**.
2. Abrir Animes observando loading.
3. Depois trocar gênero.
4. Confirmar na tela o **resultado feliz** descrito na regra.",Spinner possível logo após abrir; novo spinner ao mudar filtro.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-007,Recarga ao mudar filtro e na hidratação,04-ANIMES.md,Animes,CT-RN-ANIMES-007-N,Negativo: Recarga ao mudar filtro e na hidratação — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-007, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Página recém-aberta ou filtro alterado.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Página recém-aberta ou filtro alterado..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-007,Recarga ao mudar filtro e na hidratação,04-ANIMES.md,Animes,CT-RN-ANIMES-007-E,Exploratório: Recarga ao mudar filtro e na hidratação — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-007 após o caminho feliz.,Exploratório guiado,Página recém-aberta ou filtro alterado.,"**Charter (15 min)** — área: **Animes** · regra: Recarga ao mudar filtro e na hidratação.
**Contexto:** A grade recarrega quando a página termina de abrir **e** sempre que um filtro muda (pode haver um loading extra logo após a primeira pintura).
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-008,Atualização após sync,04-ANIMES.md,Animes,CT-RN-ANIMES-008-F,Feliz: Atualização após sync,Caminho principal que confirma a regra RN-ANIMES-008 (Atualização após sync).,Funcional manual,Sync disparada.,"1. Abrir o site e navegar até **Animes**.
2. Manter Animes aberta durante sync.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Lista muda sem F5.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-008,Atualização após sync,04-ANIMES.md,Animes,CT-RN-ANIMES-008-N,Negativo: Atualização após sync — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-008, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Sync disparada.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Sync disparada..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-008,Atualização após sync,04-ANIMES.md,Animes,CT-RN-ANIMES-008-E,Exploratório: Atualização após sync — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-008 após o caminho feliz.,Exploratório guiado,Sync disparada.,"**Charter (15 min)** — área: **Animes** · regra: Atualização após sync.
**Contexto:** Sync do catálogo pode atualizar a grade com a página aberta.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-009,Contador = cards da página atual,04-ANIMES.md,Animes,CT-RN-ANIMES-009-F,Feliz: Contador = cards da página atual,Caminho principal que confirma a regra RN-ANIMES-009 (Contador = cards da página atual).,Funcional manual,Mais de ~48 animes para o filtro.,"1. Abrir o site e navegar até **Animes**.
2. Filtro amplo.
3. Comparar contador com total esperado manualmente.
4. Confirmar na tela o **resultado feliz** descrito na regra.",Contador pode mostrar até ~48 enquanto existem mais no catálogo.,Homologação/produção; usuário **logado**,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-009,Contador = cards da página atual,04-ANIMES.md,Animes,CT-RN-ANIMES-009-N,Negativo: Contador = cards da página atual — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-009, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Mais de ~48 animes para o filtro.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Mais de ~48 animes para o filtro..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; usuário **logado**,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-009,Contador = cards da página atual,04-ANIMES.md,Animes,CT-RN-ANIMES-009-E,Exploratório: Contador = cards da página atual — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-009 após o caminho feliz.,Exploratório guiado,Mais de ~48 animes para o filtro.,"**Charter (15 min)** — área: **Animes** · regra: Contador = cards da página atual.
**Contexto:** O texto “X animes encontrados” conta os cards **mostrados**, não necessariamente o total de animes que existem para o filtro no catálogo.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; usuário **logado**,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-010,"Grade, loading e vazio",04-ANIMES.md,Animes,CT-RN-ANIMES-010-F,"Feliz: Grade, loading e vazio","Caminho principal que confirma a regra RN-ANIMES-010 (Grade, loading e vazio).",Funcional manual,Filtro impossível ou resultados OK.,"1. Abrir o site e navegar até **Animes**.
2. Testar filtro vazio e filtro amplo.
3. Confirmar na tela o **resultado feliz** descrito na regra.",**Nenhum anime encontrado** + dica; ou 2–5 colunas de cards ~210px.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-010,"Grade, loading e vazio",04-ANIMES.md,Animes,CT-RN-ANIMES-010-N,"Negativo: Grade, loading e vazio — degradação sem quebra","Verificar que, sem a condição da regra RN-ANIMES-010, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Filtro impossível ou resultados OK.,"1. Abrir o site e navegar até **Animes** com catálogo/API indisponível ou vazio (conforme pré-condição).
2. Aguardar carregamento e interagir com a área afetada.
3. Confirmar estado vazio, mensagem amigável ou retry — sem tela branca.",**Nenhum anime encontrado** + dica; ou 2–5 colunas de cards ~210px.,Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-010,"Grade, loading e vazio",04-ANIMES.md,Animes,CT-RN-ANIMES-010-E,"Exploratório: Grade, loading e vazio — charter de risco na tela",Charter exploratório ligado à regra RN-ANIMES-010 após o caminho feliz.,Exploratório guiado,Filtro impossível ou resultados OK.,"**Charter (15 min)** — área: **Animes** · regra: Grade, loading e vazio.
**Contexto:** Spinner central durante busca; grid responsivo; empty state amigável.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-011,Lote inicial sem “carregar mais”,04-ANIMES.md,Animes,CT-RN-ANIMES-011-F,Feliz: Lote inicial sem “carregar mais”,Caminho principal que confirma a regra RN-ANIMES-011 (Lote inicial sem “carregar mais”).,Funcional manual,Catálogo grande.,"1. Abrir o site e navegar até **Animes**.
2. Contar cards com filtros abertos.
3. Confirmar na tela o **resultado feliz** descrito na regra.",~48 cards visíveis; sem paginação na UI.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-011,Lote inicial sem “carregar mais”,04-ANIMES.md,Animes,CT-RN-ANIMES-011-N,Negativo: Lote inicial sem “carregar mais” — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-011, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Catálogo grande.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Catálogo grande..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
